model,video,feature_path,label_path,frames,frame_acc,edit,f1_10,f1_25,f1_50
asformer,IMG_7664.npy,../data/features_enhanced\02spravne\IMG_7664.npy,../data/labels\02spravne\IMG_7664.txt,720,11.944444444444445,8.955223880597018,5.333333333333334,0.0,0.0
asformer,IMG_7665.npy,../data/features_enhanced\02spravne\IMG_7665.npy,../data/labels\02spravne\IMG_7665.txt,743,13.997308209959622,10.909090909090914,9.523809523809524,0.0,0.0
asformer,IMG_7666.npy,../data/features_enhanced\02spravne\IMG_7666.npy,../data/labels\02spravne\IMG_7666.txt,745,9.93288590604027,11.290322580645162,2.857142857142857,0.0,0.0
asformer,IMG_9392.npy,../data/features_enhanced\02spravne\IMG_9392.npy,../data/labels\02spravne\IMG_9392.txt,544,21.323529411764707,15.555555555555555,15.09433962264151,11.320754716981133,0.0
asformer,IMG_9393.npy,../data/features_enhanced\02spravne\IMG_9393.npy,../data/labels\02spravne\IMG_9393.txt,528,28.97727272727273,16.326530612244895,21.052631578947366,14.035087719298245,3.508771929824561
asformer,IMG_9394.npy,../data/features_enhanced\02spravne\IMG_9394.npy,../data/labels\02spravne\IMG_9394.txt,528,40.71969696969697,16.000000000000004,17.24137931034483,13.793103448275861,6.896551724137931
asformer,IMG_9395.npy,../data/features_enhanced\02spravne\IMG_9395.npy,../data/labels\02spravne\IMG_9395.txt,527,28.083491461100568,12.28070175438597,9.230769230769232,6.153846153846154,0.0
asformer,IMG_9396.npy,../data/features_enhanced\02spravne\IMG_9396.npy,../data/labels\02spravne\IMG_9396.txt,533,30.0187617260788,13.725490196078427,16.94915254237288,10.16949152542373,3.389830508474576
asformer,IMG_9399.npy,../data/features_enhanced\02spravne\IMG_9399.npy,../data/labels\02spravne\IMG_9399.txt,527,36.05313092979127,15.909090909090907,19.230769230769234,11.538461538461538,3.8461538461538463
asformer,IMG_9400.npy,../data/features_enhanced\02spravne\IMG_9400.npy,../data/labels\02spravne\IMG_9400.txt,560,35.714285714285715,11.111111111111116,16.39344262295082,3.278688524590164,3.278688524590164
asformer,IMG_9401.npy,../data/features_enhanced\02spravne\IMG_9401.npy,../data/labels\02spravne\IMG_9401.txt,535,14.392523364485982,9.615384615384615,6.779661016949152,3.389830508474576,3.389830508474576
asformer,IMG_9402.npy,../data/features_enhanced\02spravne\IMG_9402.npy,../data/labels\02spravne\IMG_9402.txt,505,24.95049504950495,17.14285714285714,9.30232558139535,4.651162790697675,4.651162790697675
mstcn,20251208_094800.npy,../data/features_enhanced\01spravne\20251208_094800.npy,../data/labels\01spravne\20251208_094800.txt,679,95.72901325478645,100.0,100.0,100.0,100.0
mstcn,20251208_094811.npy,../data/features_enhanced\01spravne\20251208_094811.npy,../data/labels\01spravne\20251208_094811.txt,775,92.25806451612904,100.0,100.0,100.0,100.0
mstcn,20251208_094836.npy,../data/features_enhanced\01spravne\20251208_094836.npy,../data/labels\01spravne\20251208_094836.txt,703,93.88335704125178,100.0,100.0,100.0,100.0
mstcn,20251208_094908.npy,../data/features_enhanced\01spravne\20251208_094908.npy,../data/labels\01spravne\20251208_094908.txt,654,90.51987767584097,85.71428571428572,92.3076923076923,92.3076923076923,92.3076923076923
mstcn,20251208_094920.npy,../data/features_enhanced\01spravne\20251208_094920.npy,../data/labels\01spravne\20251208_094920.txt,493,94.11764705882352,100.0,100.0,100.0,100.0
mstcn,20251208_094934.npy,../data/features_enhanced\01spravne\20251208_094934.npy,../data/labels\01spravne\20251208_094934.txt,691,95.07959479015919,100.0,100.0,100.0,100.0
mstcn,20251208_094942.npy,../data/features_enhanced\01spravne\20251208_094942.npy,../data/labels\01spravne\20251208_094942.txt,508,86.61417322834646,100.0,100.0,100.0,100.0
mstcn,20251208_094947.npy,../data/features_enhanced\01spravne\20251208_094947.npy,../data/labels\01spravne\20251208_094947.txt,728,96.29120879120879,100.0,100.0,100.0,100.0
mstcn,20251208_095002.npy,../data/features_enhanced\01spravne\20251208_095002.npy,../data/labels\01spravne\20251208_095002.txt,649,93.8366718027735,100.0,100.0,100.0,100.0
mstcn,20251208_095016.npy,../data/features_enhanced\01spravne\20251208_095016.npy,../data/labels\01spravne\20251208_095016.txt,516,90.69767441860465,100.0,100.0,100.0,100.0
mstcn,20251208_095126.npy,../data/features_enhanced\01spravne\20251208_095126.npy,../data/labels\01spravne\20251208_095126.txt,606,97.1947194719472,100.0,100.0,100.0,100.0
mstcn,20251208_095128(1).npy,../data/features_enhanced\01spravne\20251208_095128(1).npy,../data/labels\01spravne\20251208_095128(1).txt,523,93.88145315487571,100.0,100.0,100.0,100.0
mstcn,20251208_095128.npy,../data/features_enhanced\01spravne\20251208_095128.npy,../data/labels\01spravne\20251208_095128.txt,635,94.33070866141732,100.0,100.0,100.0,100.0
mstcn,20251208_095149.npy,../data/features_enhanced\01spravne\20251208_095149.npy,../data/labels\01spravne\20251208_095149.txt,508,93.11023622047244,100.0,100.0,100.0,100.0
mstcn,20251208_095204.npy,../data/features_enhanced\01spravne\20251208_095204.npy,../data/labels\01spravne\20251208_095204.txt,668,93.41317365269461,100.0,100.0,100.0,100.0
mstcn,20251208_095205.npy,../data/features_enhanced\01spravne\20251208_095205.npy,../data/labels\01spravne\20251208_095205.txt,696,97.70114942528735,100.0,100.0,100.0,100.0
mstcn,20251208_095216.npy,../data/features_enhanced\01spravne\20251208_095216.npy,../data/labels\01spravne\20251208_095216.txt,514,97.66536964980544,100.0,100.0,100.0,100.0
mstcn,20251208_095251.npy,../data/features_enhanced\01spravne\20251208_095251.npy,../data/labels\01spravne\20251208_095251.txt,673,94.79940564635957,100.0,100.0,100.0,100.0
mstcn,20251208_095304.npy,../data/features_enhanced\01spravne\20251208_095304.npy,../data/labels\01spravne\20251208_095304.txt,506,96.24505928853755,100.0,100.0,100.0,100.0
mstcn,20251208_095307.npy,../data/features_enhanced\01spravne\20251208_095307.npy,../data/labels\01spravne\20251208_095307.txt,606,92.57425742574257,100.0,100.0,100.0,100.0
mstcn,20251208_095325.npy,../data/features_enhanced\01spravne\20251208_095325.npy,../data/labels\01spravne\20251208_095325.txt,667,94.15292353823088,100.0,100.0,100.0,100.0
mstcn,20251208_095331.npy,../data/features_enhanced\01spravne\20251208_095331.npy,../data/labels\01spravne\20251208_095331.txt,516,93.4108527131783,100.0,100.0,100.0,100.0
mstcn,20251208_095408.npy,../data/features_enhanced\01spravne\20251208_095408.npy,../data/labels\01spravne\20251208_095408.txt,663,91.8552036199095,100.0,100.0,100.0,100.0
mstcn,20251208_095414.npy,../data/features_enhanced\01spravne\20251208_095414.npy,../data/labels\01spravne\20251208_095414.txt,652,96.31901840490798,100.0,100.0,100.0,100.0
mstcn,20251208_095435.npy,../data/features_enhanced\01spravne\20251208_095435.npy,../data/labels\01spravne\20251208_095435.txt,695,93.66906474820144,100.0,100.0,100.0,100.0
mstcn,20251208_095436.npy,../data/features_enhanced\01spravne\20251208_095436.npy,../data/labels\01spravne\20251208_095436.txt,496,93.14516129032258,100.0,100.0,100.0,100.0
